time,N1
0,777.796
0.05,779.205
0.1,780.614
0.15,782.023
0.2,783.432
0.25,784.841
0.3,786.25
0.35,787.659
0.4,789.068
0.45,790.477
0.5,791.886
0.55,793.295
0.6,794.704
0.65,796.112
0.7,797.521
0.75,798.93
0.8,800.339
0.85,801.748
0.9,803.157
0.95,804.566
1,805.975
1.05,807.384
1.1,808.793
1.15,810.202
1.2,811.611
1.25,813.02
1.3,814.429
1.35,815.838
1.4,817.246
1.45,818.655
1.5,820.064
1.55,821.473
1.6,822.882
1.65,824.291
1.7,825.7
1.75,827.109
1.8,828.518
1.85,829.927
1.9,831.336
1.95,832.745
2,834.154
2.05,835.562
2.1,836.971
2.15,838.38
2.2,839.789
2.25,841.198
2.3,842.607
2.35,844.016
2.4,845.425
2.45,846.834
2.5,848.243
2.55,849.652
2.6,851.061
2.65,852.469
2.7,853.878
2.75,855.287
2.8,856.696
2.85,858.105
2.9,859.514
2.95,860.923
3,862.332
3.05,863.741
3.1,865.15
3.15,866.559
3.2,867.967
3.25,869.376
3.3,870.785
3.35,872.194
3.4,873.603
3.45,875.012
3.5,876.421
3.55,877.83
3.6,879.239
3.65,880.648
3.7,882.056
3.75,883.465
3.8,884.874
3.85,886.283
3.9,887.692
3.95,889.101
4,890.51
4.05,891.919
4.1,893.328
4.15,894.737
4.2,896.145
4.25,897.554
4.3,898.963
4.35,900.372
4.4,901.781
4.45,903.19
4.5,904.599
4.55,906.008
4.6,907.417
4.65,908.826
4.7,910.234
4.75,911.643
4.8,913.052
4.85,914.461
4.9,915.87
4.95,917.279
5,918.688
5.05,920.097
5.1,921.505
5.15,922.914
5.2,924.323
5.25,925.732
5.3,927.141
5.35,928.55
5.4,929.959
5.45,931.368
5.5,932.777
5.55,934.185
5.6,935.594
5.65,937.003
5.7,938.412
5.75,939.821
5.8,941.23
5.85,942.639
5.9,944.048
5.95,945.456
6,946.865
6.05,948.274
6.1,949.683
6.15,951.092
6.2,952.501
6.25,953.91
6.3,955.319
6.35,956.727
6.4,958.136
6.45,959.545
6.5,960.954
6.55,962.363
6.6,963.772
6.65,965.181
6.7,966.59
6.75,967.998
6.8,969.407
6.85,970.816
6.9,972.225
6.95,973.634
7,975.043
7.05,976.452
7.1,977.86
7.15,979.269
7.2,980.678
7.25,982.087
7.3,983.496
7.35,984.905
7.4,986.314
7.45,987.722
7.5,989.131
7.55,990.54
7.6,991.949
7.65,993.358
7.7,994.767
7.75,996.176
7.8,997.584
7.85,998.993
7.9,1000.4
7.95,1001.81
8,1003.22
8.05,1004.63
8.1,1006.04
8.15,1007.45
8.2,1008.86
8.25,1010.26
8.3,1011.67
8.35,1013.08
8.4,1014.49
8.45,1015.9
8.5,1017.31
8.55,1018.72
8.6,1020.13
8.65,1021.53
8.7,1022.94
8.75,1024.35
8.8,1025.76
8.85,1027.17
8.9,1028.58
8.95,1029.99
9,1031.4
9.05,1032.81
9.1,1034.21
9.15,1035.62
9.2,1037.03
9.25,1038.44
9.3,1039.85
9.35,1041.26
9.4,1042.67
9.45,1044.08
9.5,1045.49
9.55,1046.89
9.6,1048.3
9.65,1049.71
9.7,1051.12
9.75,1052.53
9.8,1053.94
9.85,1055.35
9.9,1056.76
9.95,1058.16
10,1059.57
10.05,1060.98
10.1,1062.39
10.15,1063.8
10.2,1065.21
10.25,1066.62
10.3,1068.03
10.35,1069.44
10.4,1070.84
10.45,1072.25
10.5,1073.66
10.55,1075.07
10.6,1076.48
10.65,1077.89
10.7,1079.3
10.75,1080.71
10.8,1082.11
10.85,1083.52
10.9,1084.93
10.95,1086.34
11,1087.75
11.05,1089.16
11.1,1090.57
11.15,1091.98
11.2,1093.39
11.25,1094.79
11.3,1096.2
11.35,1097.61
11.4,1099.02
11.45,1100.43
11.5,1101.84
11.55,1103.25
11.6,1104.66
11.65,1106.06
11.7,1107.47
11.75,1108.88
11.8,1110.29
11.85,1111.7
11.9,1113.11
11.95,1114.52
12,1115.93
12.05,1117.34
12.1,1118.74
12.15,1120.15
12.2,1121.56
12.25,1122.97
12.3,1124.38
12.35,1125.79
12.4,1127.2
12.45,1128.61
12.5,1130.01
12.55,1131.42
12.6,1132.83
12.65,1134.24
12.7,1135.65
12.75,1137.06
12.8,1138.47
12.85,1139.88
12.9,1141.28
12.95,1142.69
13,1144.1
13.05,1145.51
13.1,1146.92
13.15,1148.33
13.2,1149.74
13.25,1151.15
13.3,1152.56
13.35,1153.96
13.4,1155.37
13.45,1156.78
13.5,1158.19
13.55,1159.6
13.6,1161.01
13.65,1162.42
13.7,1163.83
13.75,1165.23
13.8,1166.64
13.85,1168.05
13.9,1169.46
13.95,1170.87
14,1172.28
14.05,1173.69
14.1,1175.1
14.15,1176.5
14.2,1177.91
14.25,1179.32
14.3,1180.73
14.35,1182.14
14.4,1183.55
14.45,1184.96
14.5,1186.37
14.55,1187.77
14.6,1189.18
14.65,1190.59
14.7,1192
14.75,1193.41
14.8,1194.82
14.85,1196.23
14.9,1197.64
14.95,1199.05
15,1200.45
15.05,1201.86
